instructor,course_title,course_id,professor_score
"Dew, James",Macroeconomic Theory,60324,4.4
"Konan, Martin",Microeconomic Theory,60282,-5.5
"Konan, Martin",Statistics,60718,-14.8
"Hooker, Mark",Applied Econometrics,60511,-0.9
"Hooker, Mark",Applied Econometrics,61383,-4.9
"Dupree, Jill",International Economics,61149,5.8
"Simon, Peter",Senior Economics Seminar,60426,2.8
"Hanser, Philip",Math  Stats for Economists,61396,2.2
"Asheghan, Mohammadmostafa",Circuits/Signals: Biomed Apps,61286,-11.9
"Shazli, Syed",Embedded Des Enabling Robotics,61287,-9.5
"Aboelela, Emad",Computer Architecture  Org,60516,-0.4
"Farhat, Amir",Electronic Design,60542,-1.6
"Salehi, Masoud",Noise  Stochastic Processes,60793,-3.3
"Salehi, Masoud",ECE Capstone 1,60053,-0.9
"Dimarzio, Charles",ECE Capstone 1,60023,7.6
"Shafai, Bahram",ECE Capstone 1,60296,5.4
"Kimani, John",ECE Capstone 1,61387,1.5
"Erdogmus, Deniz",Machine Learn/Pattern Recogntn,60517,1.9
"Rappaport, Carey",Special Topics,61408,1.4
"Cassella, Cristian",Special Topics,61408,2.6
"Jornet, Josep Miquel",Special Topics,61408,2.8
"Siami, Milad",Special Topics,61408,2.1
"Stojanovic, Milica",Special Topics,61408,2.4
"Closas, Pau",Special Topics,61408,2.0
"Fei, Yunsi",Special Topics,61408,2.2
"Johnson, Tristan",Engineering Project Management,60325,5.1
"Kontopidis, George",Engineering Project Management,61332,5.4
"Bleakney, John",Engineering Project Management,60615,3.7
"Chidsey, Patrick",Experiential Project,61469,-0.7
"Harris, Benjamin",Economic Decision Making,60435,-6.0
"Shi, Shiaoming",Economic Decision Making,60437,-0.1
"Noorian, Seyed",Financial Management for Engr,60896,-10.0
"Kelly, Kathleen",Travel Writing,61240,-2.3
"Sobral Campos, Isabel",Creative Writing,60772,4.9
"Block, Aaron",Creative Writing,60894,4.8
"Palermo, Gregory",Topics in Writing,61115,1.4
"Balestraci, Mary",Advanced Writing in Tech Prof,60251,-6.8
"Templeton, Kathryn",Advanced Writing in Tech Prof,60531,-1.7
"Block, Aaron",Advanced Writing in Tech Prof,60530,3.2
"Nardone, Laurie",Advanced Writing in Tech Prof,60252,-2.2
"Medina, David",Advanced Writing in Tech Prof,60253,2.0
"Clark, Tabitha",Advanced Writing in Tech Prof,60340,1.1
"Keller, Nicole",Advanced Writing in Tech Prof,60471,-3.0
"Molko, Rachel",Advanced Writing in Tech Prof,60527,1.0
"Barco-Medina, Genesis",Advanced Writing in Tech Prof,60526,-3.1
"Sobral Campos, Isabel",Advanced Writing in Tech Prof,60664,2.5
"Morelli, Katherine",Advanced Writing in Tech Prof,61289,-3.0
"Oravetz, Kenneth",Advanced Writing in Tech Prof,61347,0.7
"Noonan, Matthew",Advanced Writing in Bus Admin,60285,-2.6
"Noonan, Matthew",Advanced Writing in Bus Admin,60286,2.2
"Olivier, Faviana",Advanced Writing in Bus Admin,60298,3.6
"Moss, Edward",Advanced Writing in Bus Admin,60458,3.9
"Moss, Edward",Advanced Writing in Bus Admin,60472,4.5
"Ober, David",Advanced Writing in Bus Admin,60525,1.5
"Berry-Woods, Melissa",Advanced Writing in Bus Admin,60524,-9.7
"White, Max",Advanced Writing in Bus Admin,60665,-1.2
"Quinn, William",Advanced Writing in Bus Admin,61118,1.8
