instructor,course_title,course_id,professor_score
"Platt, Marjorie",Anlyzng Acct Data for Strt Dec,14268,0.2
"Platt, Marjorie",Anlyzng Acct Data for Strt Dec,14269,-0.3
"Ganz, Troy",Foundations in Biotechnology,19671,10.2
"Shanmugam, Ilanchezhian",Cell Culture Proc/Biophrm Prod,19673,-11.5
"Lenz, Elizabeth",Biology of Corals,19891,-84.4
"Lenz, Elizabeth",Lab for EEMB 5504,19893,-84.4
"Coleman, Richard",Biology and Ecology of Fishes,19892,-84.4
"Coleman, Richard",Lab for EEMB 5506,19894,-84.4
"Tyler, William",Marine Birds  Mammals,19896,0.6
"Hurley, Kaleonani",Tropical Terrestrial Ecology,19742,-84.4
"Romine, Bradley",Ocean and Coastal Processes,19743,-84.4
"Owens, Tara",Ocean and Coastal Processes,19743,-84.4
"Hurley, Kaleonani",Tropical Marine Ecology,19895,-84.4
"Turner, Margaret",Marine Conservation Biology,19744,0.6
"Doo, Steve",Physiol  Molec Marine Ecology,19745,-1.4
"Baskerville, Marla",Managing the Organization,14421,-0.6
"Baskerville, Marla",Managing the Organization,14418,1.1
"Wertheim, Edward",Negotiations,10668,0.0
"Slusser, James",Managing Information Resources,11677,0.0
"Chan, Chee",Intro to Business Analytics,13814,10.7
"Liu, Xiaoping",Data Mine/Machine Lrn for Bus,14266,-10.6
"Collier, Gregory",Mktg and Selling Innovation,13612,6.9
"Clark, Bruce",Cust Value & the Enterprise,14302,-0.2
"Clark, Bruce",Cust Value & the Enterprise,14303,-1.0
"Murray, Robert",Managing Oprs  Supply Chain,14368,-0.1
"Murray, Robert",Managing Oprs  Supply Chain,14367,-0.1
"Petit, Matthew",Managerial Accounting,60033,4.4
"Petit, Matthew",Managerial Accounting,60032,3.4
"Regan, James",Managerial Accounting,61007,-15.0
"Zullo, Ronald",Inc Tax Detrmnation  Planning,60534,-4.0
"Williams, Christina",Internal Auditing,61429,-11.9
"Ginsberg, Laurance",Business Entity Taxation,61369,-1.7
"O'Kelly, Peggy",Fin Report for Multinat Ent,60100,8.4
"Goldman, William",Audit Big Data,60113,7.4
"Martin, Kristina",Fin Reporting Gov/Non Profits,60111,-23.8
"Zhang, Yue",Corporate Fin Reporting 2,60106,3.9
"Zhang, Yue",Corporate Fin Reporting 2,61461,7.3
"Sherman, H",Contmp Issues Accountng Theory,60105,5.7
"Zullo, Ronald",Corporations  Shareholders,60244,3.8
"Marino, Joanna",Partners  Partnerships,60245,4.0
"Gagnon, Timothy",Ethics in Accounting Professn,60250,-21.9
"Alessandri, Susan",Acct Research  Communication,60247,-17.1
"Alessandri, Susan",Acct Research  Communication,61508,7.1
"Prince, Alanna",Black Poetry & the Spoken Word,6112,14.9
"Wamai, Richard",Introduction to Global Health,61322,-7.6
"Saparova, Marhabo",Peoples and Cultures,61207,-0.9
"Haouzi, Chana",Fundamental Arch Design,61409,1.6
"Gin, Matthew",Buildings and Cities,61206,-0.5
"Luong, Tony",Introduction to Photography,61275,-2.8
"Greitzer, Andrea",Introduction to Photography,61276,-84.9
"Brens, Luis",Photo Tools,61277,-21.4
"Brens, Luis",Photo Tools,61278,-84.9
"Borgstrom, Skylar",Observational Drawing,60117,2.3
"Barker, Cameron",Conceptual Drawing,61279,6.4
"Lee, Sally",Color and Composition,60212,2.3
"Brown, Judith",Color and Composition,61280,-1.9
"Cao, Anqi",Color and Composition Tools,61281,-9.6
"Hechtman, Julia",Movement and Time,60725,-2.2
"Maduri, Madison",Movement and Time Tools,60726,8.1
"Thorne, Jamal",Experience and Interaction,60860,3.7
"Ajith, Archana",Experience  Interaction Tools,60861,-12.9
"Menendez, Jose",Design Process Context/Systems,60443,7.6
"Terrado, Kate",Design Process Context/Systems,61282,-3.3
"Kane, John",Typography 1,60541,-0.2
"Dawson, Alexander",Graphic Design 1,60862,-1.5
"Smith, Daryl",Typography 2,60003,6.5
"Laughlin, Mark",Typography 2,61397,-84.9
"Hull, Carmen",Visual Cognition,61325,7.1
"Lannin, Timothy",Transport and Fluids for BioE,60368,1.5
"Markewich, Helen Ann",Capstone Design 1,60414,-1.6
"Jaeggli, Michael",Capstone Design 1,60414,-0.8
"Lannin, Timothy",Capstone Design 1,60414,-0.2
"Roth, Aaron",Biology and Society,60437,-17.2
"Woods, Dori",Biology of Human Reproduction,60690,8.8
"Merselis, Daniel",Genetics  Molecular Biology,60438,0.7
"Raytcheva, Desislava",Biology Project Lab,60575,4.3
"Ricci, Lesley",Neurobiology,60478,4.1
"Ricci, Lesley",Current Topics in Beh Neurosci,60692,3.9
"Woods, Dori",Trends in Reproductive Science,61187,-7.4
"Fertuck, Kirsten",Biochemistry,60439,2.0
"Roth, Aaron",Biology Capstone,60693,-8.5
"Frank, Erica",Cell and Molecular Biology,60440,2.4
"Tilly, Jonathan",Clinical Embryology II,60800,-1.2
"Auclair, Jared",Cellular Therapies,60881,-9.8
"Mello Codesso, Mauricio",Business Analytics,60780,-4.2
"Mello Codesso, Mauricio",Business Analytics,61462,4.9
"Hamilton, Tessa",Clin Skills in Counsel Psych,60122,0.0
"Aparece, Mark",Organic Chemistry 2,60016,4.8
"Lin, Jiachen",Lab for CHEM 2313,60019,-3.6
"Yang, Wensheng",Lab for CHEM 2313,60017,-2.6
"Ahn, Jiyoun",Lab for CHEM 2313,60115,1.6
"Pathirage Don, Kasun",Lab for CHEM 2313,61331,-7.5
"Barnsley, Kelly",Lab for CHEM 2313,61331,-5.2
"Satvat, Behrooz",Chemical Engr Thermodynamics 1,60021,-2.5
"Satvat, Behrooz",Chemical Engineering Kinetics,61395,6.0
"Shillaber, Craig",Geotechnical Engineering,60046,1.0
"Ozdemir, Ugurcan",Lab for CIVE 2340,60045,-2.8
"Ozdemir, Ugurcan",Lab for CIVE 2340,60841,-3.4
