instructor,course_title,course_id,professor_score
"Platt, Marjorie",Anlyzng Acct Data for Strt Dec,15125,2.5
"Platt, Marjorie",Anlyzng Acct Data for Strt Dec,15126,-2.4
"Murphy, Caroline",Business Models Game Industry,18983,0.0
"Baskerville, Marla",Managing the Organization,15334,2.3
"Baskerville, Marla",Managing the Organization,15331,-1.7
"Wertheim, Edward",Negotiations,10742,0.0
"Slusser, James",Managing Information Resources,11941,0.0
"Chan, Chee",Intro to Business Analytics,14464,7.3
"Liu, Xiaoping",Data Mine/Machine Lrn for Bus,15122,-4.8
"Collier, Gregory",Mktg and Selling Innovation,14209,-0.4
"Clark, Bruce",Cust Value & the Enterprise,15168,-0.2
"Clark, Bruce",Cust Value & the Enterprise,15169,0.3
"Murray, Robert",Managing Oprs & Supply Chain,15251,-2.8
"Murray, Robert",Managing Oprs & Supply Chain,15250,1.9
"O'Kelly, Peggy",Financl Accounting  Reporting,60042,12.0
"Russo, Anthony",Managerial Accounting,60041,-10.6
"Sunderland, Daniel",Managerial Accounting,60040,5.2
"Russo, Anthony",Managerial Accounting,61465,0.0
"Zullo, Ronald",Inc Tax Detrmnation  Planning,60722,-17.1
"O'Kelly, Peggy",Fin Report for Multinat Ent,60112,13.0
"Goldman, William",Audit Big Data,60134,16.0
"Bowers, Michael",Fin Reporting Gov/Non Profits,60131,-28.5
"Williams, Christina","Corp Gov, Ethics, Fin Rpt",60135,-9.8
"Zhang, Yue",Corporate Fin Reporting 2,60123,4.6
"Sherman, H",Contmp Issues Accountng Theory,60122,5.0
"Zullo, Ronald",Corporations  Shareholders,60300,-6.7
"Rupert, Timothy",Partners  Partnerships,60301,14.9
"Gagnon, Timothy",Ethics in Accounting Professn,60307,10.0
"Alessandri, Susan",Acct Research  Communication,60304,2.2
"Bournazian, Alma",Elementary ASL 2,61136,-7.3
"Levy, Benjamin",Global Markets  Local Culture,61120,35.2
"Greitzer, Andrea",Photo Basics for Nonmajors,60156,-48.5
"Brens, Luis",Photo Basics for Nonmajors,60265,3.4
"Borgstrom, Skylar",Observational Drawing,60138,-23.2
"Thorne, Jamal",2D Fundtls: Surface/Drawing,60263,-0.0
"Hechtman, Julia",4D Fundtls: Sequence/Drawing,61143,-11.3
"Rodriguez, Allison",4D Tools,61144,-22.5
"Terrado, Kate",Design Process Context/Systems,60541,-9.3
"Kane, John",Typography 1,60781,3.2
"Linkner, Todd",Type Tools,60807,8.4
"Smith, Daryl",Typography 2,60010,15.5
"Laughlin, Mark",Typography 2,61316,0.7
"Terrado, Kate",Inf Vis Principles  Practices,61337,-6.3
"Terrado, Kate",Info Dsgn Critique Seminar,61338,-7.0
"Hatfield, Stephen",Cell and Molecular Biology,60537,-13.9
"Tilly, Jonathan",Clinical Embryology II,61252,-2.6
"Auclair, Jared",Cellular Therapies,61334,0.4
"Mello Codesso, Mauricio",Business Analytics,61209,0.0
"Hamilton, Tessa",Clin Skills in Counsel Psych,60147,0.0
"Aparece, Mark",Organic Chemistry 2,60024,0.0
"Satvat, Behrooz",Chemical Engr Thermodynamics 1,60029,1.1
"Satvat, Behrooz",Chemical Engr Thermodynamics 1,61139,10.3
"Willey, Ronald",Chemical Engineering Kinetics,60714,-8.1
"Ekenseair, Adam",Design 1: Process Analysis,61140,9.9
"Shillaber, Craig",Geotechnical Engineering,60055,-5.0
"Ozdemir, Ugurcan",Lab for CIVE 2340,60054,-0.2
"Ozdemir, Ugurcan",Lab for CIVE 2340,61293,1.2
"Ozdemir, Ugurcan",Lab for CIVE 2340,60514,-7.4
"Furth, Peter",Sustain Transport: Netherlands,60515,-150.8
"Rosenblum, Jeffrey",Sustain Transport Netherlands,60280,-35.8
"Touran, Ali",Construction Management,60030,-1.1
"Eckelman, Matthew",Special Topics in Civil Engr,61354,16.3
"Granelli, Steven",Intro Communication Studies,60016,9.3
"Weickum, Nikki",Public Speaking,60279,10.4
"Weickum, Nikki",Business/Professional Speaking,60725,4.5
"Van Gilder, Bobbi",Sex  Relationships,60302,0.3
